sector,total_bytes,requests,html_bytes,css_bytes,js_bytes,image_bytes,font_bytes,media_bytes,green_hosting,co2e_grams_per_view,swd_rating
legal,19857,1,19857,0,0,0,0,0,no,0.0029,A+
legal,29829,4,26045,0,1684,2100,0,0,yes,0.0036,A+
accountancy,56744,11,2626,10885,41689,0,1544,0,no,0.0084,A+
physiotherapy,170217,1,170217,0,0,0,0,0,no,0.0252,A+
plumbing-heating,208959,8,75858,29214,0,54904,48983,0,yes,0.0253,A+
hair-beauty,211288,27,11401,29896,61511,80844,27636,0,yes,0.0256,A+
automotive,273651,25,19814,40798,80628,132411,0,0,yes,0.0331,A+
building,326673,33,113606,22995,155557,34515,0,0,yes,0.0395,A+
veterinary,385879,57,9828,28041,87945,247108,12957,0,yes,0.0467,A
automotive,388697,15,28799,0,30387,329511,0,0,yes,0.0470,A
accountancy,447843,45,21796,19005,372142,34900,0,0,yes,0.0542,A
automotive,493759,38,34265,21354,413780,24360,0,0,yes,0.0598,A
hair-beauty,501215,30,98244,0,238750,47625,116596,0,yes,0.0607,A
cafe,529385,32,16253,80518,193435,8423,230756,0,yes,0.0641,A
electrical,540655,20,25470,118432,656,322063,74034,0,yes,0.0654,A
legal,575213,50,109755,126626,183053,155779,0,0,yes,0.0696,A
landscaping,582883,26,8364,15947,167656,280164,110752,0,yes,0.0705,A
joinery,592469,31,24953,0,152005,96031,319480,0,no,0.0878,B
building,596007,53,31796,77316,366191,6448,114256,0,no,0.0883,B
accountancy,617919,66,110627,110661,273782,100885,21964,0,yes,0.0748,A
dental,687587,50,32961,95893,140331,91956,326446,0,yes,0.0832,B
hair-beauty,731866,34,153764,0,238748,9746,329608,0,yes,0.0886,B
automotive,738172,25,21489,17041,383664,315978,0,0,yes,0.0893,B
building,776566,53,16928,79760,255402,294173,130303,0,no,0.1151,B
automotive,785194,25,4846,56065,276544,447739,0,0,yes,0.0950,B
veterinary,794401,46,3690,68067,169753,342370,210521,0,no,0.1177,B
cafe,798423,24,25935,20261,196628,391997,163602,0,yes,0.0966,B
plumbing-heating,920393,55,31818,19242,411264,458069,0,0,yes,0.1114,B
joinery,955744,26,42800,7632,0,1432,903880,0,no,0.1416,B
physiotherapy,968434,45,32244,18360,293191,117833,506806,0,yes,0.1172,B
legal,1006835,72,104683,61326,382194,379956,78676,0,yes,0.1219,B
dental,1047399,28,86893,0,48459,533710,378337,0,no,0.1552,C
dental,1055707,36,55807,152572,267161,22931,557236,0,yes,0.1278,B
restaurant,1107599,24,29778,90863,629893,226237,130828,0,no,0.1641,C
plumbing-heating,1182492,47,12276,50987,251504,541132,326593,0,yes,0.1431,B
electrical,1186884,65,65603,37778,451866,625149,6488,0,yes,0.1436,B
hair-beauty,1245846,52,19177,84797,325091,577799,238982,0,yes,0.1508,C
electrical,1384675,70,185369,137822,453394,256758,351332,0,yes,0.1676,C
accountancy,1402676,43,18442,127062,564988,235678,456506,0,no,0.2079,C
building,1431791,41,29986,35821,159951,1206033,0,0,yes,0.1733,C
veterinary,1438368,48,23521,25261,336091,954026,99469,0,yes,0.1741,C
estate-agency,1465587,71,44350,77226,463523,636864,243624,0,no,0.2172,D
physiotherapy,1467693,57,23183,39749,386577,720057,298127,0,yes,0.1776,C
veterinary,1593757,41,42065,278019,162442,455513,655718,0,yes,0.1929,C
building,1627800,26,31639,133652,351587,379744,731178,0,yes,0.1970,C
joinery,1702602,63,54230,48836,575196,346307,678033,0,no,0.2523,D
automotive,1717957,47,16732,51971,409757,1150534,71996,0,no,0.2546,D
legal,1744534,59,28877,21206,463639,1181221,49591,0,yes,0.2111,D
estate-agency,1771689,49,13324,60026,303622,1394717,0,0,unknown,0.2626,D
estate-agency,1832784,67,53532,49385,985426,744441,0,0,yes,0.2218,D
building,1841945,71,37438,123021,218069,386719,1076698,0,yes,0.2229,D
dental,1864724,35,18270,86218,465829,934793,359614,0,yes,0.2257,D
landscaping,1966631,50,1128741,18747,212973,62188,543982,0,yes,0.2380,D
dental,2028858,46,51478,126601,0,1188059,662720,0,no,0.3007,E
automotive,2039532,34,203595,0,520485,114056,1201396,0,yes,0.2468,D
electrical,2097846,36,40057,93173,271251,1008905,684460,0,no,0.3109,E
retail,2147323,60,32720,158832,1225128,714835,15808,0,no,0.3182,E
joinery,2164937,51,34377,19822,116540,1684024,310174,0,yes,0.2620,D
landscaping,2230534,37,30111,94008,160419,1244540,701456,0,no,0.3306,E
cafe,2286653,22,6255,7358,36915,2236125,0,0,no,0.3389,E
automotive,2386856,67,63767,88358,490492,1527664,216575,0,yes,0.2889,E
electrical,2414422,47,77093,335810,355799,53519,1592201,0,yes,0.2922,E
dental,2445532,29,21542,48007,0,2093173,282810,0,no,0.3624,F
veterinary,2451672,63,28203,101449,850039,1296921,175060,0,yes,0.2967,E
veterinary,2545993,31,33558,1902,464405,1967840,78288,0,no,0.3773,F
dental,2856474,29,28769,88509,308852,1752720,677624,0,no,0.4233,F
landscaping,2901268,72,24206,91266,155354,2336242,294200,0,yes,0.3511,E
estate-agency,2976931,72,45487,71654,752807,2106983,0,0,no,0.4412,F
accountancy,3253895,65,25752,130856,512041,2585246,0,0,no,0.4822,F
cafe,3276697,66,24636,64575,911744,1798006,477736,0,no,0.4856,F
hair-beauty,3335703,44,43692,111612,320252,2137791,722356,0,no,0.4944,F
estate-agency,3507379,72,37781,136371,196570,3136657,0,0,yes,0.4245,F
hair-beauty,3511985,65,20145,83788,326857,2693273,387922,0,no,0.5205,F
electrical,3514195,69,28980,28717,402535,2954011,99952,0,yes,0.4253,F
electrical,3782364,48,50705,46486,62118,742686,401736,2477981,yes,0.4578,F
joinery,4102730,67,4881,83444,276856,3737549,0,0,no,0.6080,F
physiotherapy,4343542,62,25933,100443,540262,3380916,295988,0,yes,0.5257,F
joinery,4604513,31,5237,31751,130978,4337919,98628,0,no,0.6824,F
legal,4670942,45,59172,18165,362563,4157502,73540,0,no,0.6922,F
landscaping,4729032,47,6112,93535,137582,4095939,395864,0,yes,0.5724,F
bakery,4802516,65,27803,27594,151225,4465370,130524,0,yes,0.5812,F
joinery,5059010,44,39613,4279,311215,3912764,791139,0,yes,0.6123,F
landscaping,5087486,43,8524,316732,324089,1986872,2451269,0,no,0.7540,F
cafe,5252220,52,23376,85411,931118,4196507,15808,0,no,0.7784,F
landscaping,6365834,60,9418,129623,441371,5785422,0,0,yes,0.7705,F
estate-agency,6643963,71,31135,207044,341603,6064181,0,0,yes,0.8041,F
